image_path, name, target, source, way_of_connection, connection, way_of_mapping, mapping_strategy," detail_mapping: Color, Style,Size,Structure,Graphics, Light and Shadow, Function, Interaction/ movement,Texture,Material,Temperatur Sound,Taste,Smell
",,,,,,,,
1.png, Firephant,fire extinguisher,elephant,product's function, elephant's trunk spraying water functions like fire worker sprying the fire extinguisher,vision,the exit of the fire hydrant looks like the trunk of an elephant,null,,,,,,,,
2.png, Luna Rug, rug, Moon, emotions, Moon's surface as a rug contextually like playfully walking on the moon,vision,The rug's texture and color gradient looks like the surface of the moon,texture & color,,,,,,,,
3.png, NS Camera, security camera, Lovable character, emotions, lovely character create a friendly and non-threatening presence of camera,vision,The camera's cover looks like a helmet,color,,,,,,,,
4.png, Surveillance Chandelier, chandelier, security camera, context meaning, Security cameras are everywhere just like chandelier,vision,The spotlights look like security cameras,texture & color,,,,,,,,
5.png, VD 003 Bike Rack, bike rack, car, context product, the car represents with the bicycle on the road,vision,The bike rack looks like the outline of a car,color,,,,,,,,
6.png,  Pianobell Door Bell, Door Bell, Piano Keys, product's interaction, Pressing the doorbell keys interacts like playing piano keys,interaction,Pressing the doorbell keys interacts like playing piano keys,color & form,,,,,,,,
7.png,  Awakening Lamp, Lamp, Human, context meaning, The lamp lights up when someone is in the room like a human waking up,interaction,The lamp lights up and lies down interacts like a human waking up and sleeping,movement,,,,,,,,
8.png, Ctrl+O Bottle Opener, Bottle Opener, Keyboard Shortcut, context, Ctrl+O command opens a document like the bottle opener opens a bottle,vision,the texture of bottle opener look like Ctrl+O,null,,,,,,,,
9.png,  Datenschutz USB Stick, USB Stick, Padlock, function, Padlock secures items functions like USB stick secures data,vision,USB stick's structure is like a padlock,shape,,,,,,,,
10.png, Mary Biscuit Box, Biscuit Box, Biscuit, context, The box looks like a biscuit container like it contains biscuits,smell,the box smells like a biscuit,null,,,,,,,,
11.png,Garlic Press, garlic press, garlic, context, the garlic have relation with garlic press,vision,The garlic press structure has a relation with the shape of a garlic bulb,structure,,,,,,,,
12.png,Kastor Pencil Sharpener, pencil sharpener, beaver, function, The beaver gnawing on wood functions like a pencil sharpener sharpening a pencil,vision,The pencil sharpener looks like a beaver,interaction,,,,,,,,
13.png, Homo Sapiens, kitchen tool, potato, context, Potatoes and kitchen tools are often present together in the kitchen,vision,The kitchen tool looks like a cut potato,texture & color,,,,,,,,
14.png, business_class_tie_usb.png, Business Class, Tie, USB stick, context,vision,Tie and USB stick are combined for quick and easy data sharing in a business environment,structure & , metarial,,,,,,,
15.png, Hanger Chair, Folding Chair, Hanger, context, Hanger and folding chair both save space in small areas,interaction,Chair folds and hangs like a hanger,form, color,,,,,,,
16.png,  Whistling Bird Teakettle, Teakettle, Bird, context, Bird whistles when happy just like the teakettle whistles when the water boils,vision,a bird-shape figure addes on the teakettle whistles,form,,,,,,,,
17.png,Teo Tea Strainer, Tea Strainer, Human, context, Human supports the tea strainer like they support holding a cup,vision,Tea strainer looks like a human holding a tea strainer,color & function,,,,,,,,
18.png, Sapper Kettle, Kettle, Steamboat, context, Kettle and steamboat both signal readiness with sound,interaction,Kettle's whistle functions like a steamboat's whistle,form, material,,,,,,,
19.png, null, Chair, Animal, context, Chair's foot sneaks like an animal reaching for something unnoticed,vision,Chair looks like an animal cautiously extending its foot,null,,,,,,,,
20.png, Death Star Popcorn Maker, Popcorn Maker, Death Star, context, Popcorn maker and Death Star both harness powerful energy,vision,Popcorn maker looks like the Death Star,texture & style,,,,,,,,
21.png, Set Table Lamp, Table Lamp, Screw, function, Lamp brightens or dims like adjusting a screw tightens or loosens,interaction,Lamp adjusts light intensity like a screw turns,form & texture,,,,,,,,
22.png, Sweetheart Nutcracker, Nutcracker, Crocodile, function, Crocodile's teeth are as tough as the Nutcracker,vision,Nutcracker's serrated jaws look like a crocodile's teeth,null,,,,,,,,
23.png, Oliver Oil Taster, Oil Pourer, Olive, form, Olive oil comes from olives just as the oil pourer is shaped like an olive,vision,The oil pourer looks like an olive,color & size & structure,,,,,,,,
24.png, Pino Funnel, Funnel, Pinocchio, form, Pinocchio's nose looks like the funnel's spout extends,vision,The funnel's spout looks like Pinocchio's nose,color & graphics,,,,,,,,
25.png, Nut Splitter, Nut Opener, Maple Seed, context, Maple seed symbolizes breaking open just like the Nut Splitter opens nuts,vision,Nut Splitter looks like a maple seed,structure & size,,,,,,,,
26.png, Bunny & Carrot Holder, Kitchen Roll Holder, Carrot & Bunny, context, Bunnies are associated with carrots like kitchen rolls are with holders,vision,Kitchen roll holder looks like a carrot being held by a bunny,graphics,,,,,,,,
27.png, Fatman Cake Stand, Cake Stand, Clown, context, Cake stand and clown both transform to reveal new appearances,interaction,Cake stand folds like a clown's act changes,color & graphics,,,,,,,,
28.png, Cico Egg Cup, Egg Cup, Human, form, Egg cup holds an egg like a human holds an object,vision,The egg cup looks like a human figure,color & graphics,,,,,,,,
29.png,  Mediterraneo Napkin Holder, Napkin Holder, Coral, form, Coral holds marine life like the napkin holder holds napkins,vision,The napkin holder looks like coral,null,,,,,,,,
30.png,,,,,,,,,,,,,,,,
31.png, Toothpick Holder, Toothpick holder, Dancer, product’s interaction, User gracefully retrieves toothpick like a performer on stage,interaction,The dancer interacts like a mechanical figure to retrieve a toothpick,form & material & structure & style,,,,,,,,
32.png, A Lotus Leaf, A Lotus Leaf, Centerpiece, Lotus leaf, product’s form,vision,Lotus leaf's organic shape looks like the form of the centerpiece,The centerpiece looks like a rippled lotus leaf, texture & material,,,,,,,
33.png,,,,,,,,,,,,,,,,
34.png, Chip, Magnetic paper clip holder, Bird,user’s emotions,鸟儿给办公空间营造一种轻松的感受,vision,The paper clip holder looks like a bird,material,,,,,,,,
35.png,Pes, Paper knife, Fish,product’s function,鱼的形状,vision,The paper knife looks like a fish,material & shape,,,,,,,,
36.png, Girotondo, Envelope holder, Cartoon figures, context’s meaning, Cartoon figures evoke a playful and approachable workspace environment,vision,The envelope holder looks like playful cartoon characters,material & style,,,,,,,,
37.png, The Five Seasons, Fragrance diffuser, Tree branches, context’s meaning, Tree branches evoke a natural and calming atmosphere in the space,vision,The diffuser's wooden leaves look like stylized branches,material,,,,,,,,
38.png, Dédé, Doorstop, Human figure, context’s meaning, The door is heavy so that need a human to hold,vision,The doorstop looks like a squatting human figure,color & structure,,,,,,,,
39.png, Juicy Salif, Citrus squeezer, Spider, users' emotions, The spider-like form evokes intrigue and fascination while juicing,vision,The citrus squeezer looks like a spider,interaction & material & structure,,,,,,,,
40.png, Gianni a little man holding on tight, Kitchen box, Little man, users' emotions, The users will feel a sense of whimsy and fun when they fill the food as the little man clinging to the inside of the lid,vision,add a little man figure on the inside top of the lid,material & color & form,,,,,,,,
41.png, kitchen box, merry-go-round, users' emotion, The merry-go-round evokes feelings of joy and nostalgia, making the kitchen box more playful and charming,vision,The lid of the kitchen box looks like the top of a merry-go-round,color & shape,,,,,,,,
42.png, 9093 Kettle, kettle, bird, product's interaction, Bird singing signifies the boiling of water in the kettle,vision,A bird figure is added on the spout of the kettle,color & sound,,,,,,,,
43.png, Pito Kettle, kettle, fish, context meaning, Fish shape symbolizes the flowing and movement of water in the kettle,vision,The kettle's handle and spout look like darting fish,form & sound,,,,,,,,
44.png, Souper Tail, ladle, whale, product's form, The tail of the whale is similar to the ladle's handle,vision,The ladle’s shape looks like a whale's tail and body,form & color & graphics,,,,,,,,
45.png, teacup, pelican, product's function, A pelican holds items in its beak like the tea bag holder on a cup, form,,The long beak of the pelican looks like a tea bag holder,color & graphics,,,,,,,,
46.png, Leafriend, plant support, tree huggers, product's function, Tree huggers support trees like Leafriends support plant cuttings,vision,The plant supports looks like the tree huggers,structure & color,,,,,,,,
47.png, Fries Clips, bag clip, french fries, context product, the fries clips are usually used to clip the french fries,vision,the Fries Clips looks like french fries,accessories & color & graphics,,,,,,,,
48.png, RecorDING, bicycle bell, vinyl record, product's interaction, Sliding the bicycle bell's lever interacts like sliding the arm of a vinyl record player,interaction,The motion of using the bell interacts like playing a vinyl record,texture & style & structure,,,,,,,,
49.png, Mrs. Sponge, sponge holder, woman, product's form, A well-dressed woman looks like a stylish sponge holder,vision,The shape of the sponge holder looks like a woman in a dress,texture & color,,,,,,,,
50.png, Zipmark, bookmark, zipper, product's interaction, A zipper closes an item like a bookmark holds a place in a book,vision,The bookmark looks like a zipper,color & structure,,,,,,,,
51.png, YolkFish, egg separator, fish, product's function, A fish sucks in water like YolkFish separates egg yolk from egg white, function,The YolkFish functions like a fish sucking in food or water,material & movement,,,,,,,,
52.png, Trunky Dory, shower head holder, elephant, product's function, An elephant's trunk holds water like the shower head holder secures the shower head,vision,The shower head holder looks like an elephant's trunk,function & material,,,,,,,,
53.png, Sugar House, sugar bowl, house, context's meaning, A house in the snow gives a cozy and sweet feeling like a bowl filled with sugar,vision,The sugar bowl looks like a snow globe with a house inside,material & texture & structure,,,,,,,,
54.png, Soap Opera, dish scrubber holder, diva, context's meaning, A diva cleanses in the bath holds the same meaning of cleaning as the scrubber cleans dishes,vision,The scrubber holder looks like a diva with a scrubber as her hair,texture & structure,,,,,,,,
55.png, Oiladdin, oil pourer, oil lamp, product's interaction, Rubbing an oil lamp releases a genie like tilting the pourer releases oil,interaction,The interaction of tilting the pourer mimics the action of pouring oil from an oil lamp,form & style,,,,,,,,
56.png, Lightmark, bookmark, reading lamp, product's function, A reading lamp illuminates a page like the bookmark highlights the last read page,vision,The bookmark looks like a small reading lamp,color & structure,,,,,,,,
57.png, Key Pete, key holder, person, product's function, A person holds objects securely like Key Pete holds keys with his magnetic hands,vision,The key holder looks like a person holding onto a surface,color & structure,,,,,,,,
58.png, Egguins, egg holder, penguins, context's meaning, Penguins protect their eggs in harsh environments like Egguins hold and protect eggs in the fridge or boiling water,vision,The egg holder looks like a group of penguins huddling together,structure & color,,,,,,,,
59.png, Dustache, dustpan & brush set, friendly face,users' emotions, A friendly face makes cleaning feel playful and less tedious,vision,The brush acts as a moustache and the dustpan has markings that complete the facial features,color & structure,,,,,,,,
60.png, Bloom, napkin holder, flower, context's meaning, A flower brings a sense of renewal and beauty like Bloom transforms a napkin into a blossoming flower,vision,The napkin holder looks like a flower stem that turns a napkin into petals,color & structure,,,,,,,,
61.png, Arthur, egg cup, knight, context's meaning, A knight protecting an egg like it protects its armor,vision,The egg cup looks like a knight's armor,color & structure,,,,,,,,
62.png, BottleTie, corkscrew, tie, context’s meaning, A tie makes a person look formal just like this corkscrew makes a wine bottle look elegant,vision,The corkscrew looks like a necktie,color & style,,,,,,,,
63.png,Calf & Half,milk pitcher,calf,,side product:牛奶来自牛的奶奶,vision,The inner glass structure looks like a calf’s udders,form & structure,,,,,,,,
64.png, LuoCoCo Cute Egg Separator,Egg Separator,chick,users' emotions,incroporate the chicken vomiting can give user funny emotions in the kitch ,usage,The separator interacts like a chick vomiting,form & color & style,,,,,,,,
65.png,Bean Playing Tennis,Tennis Ball Bag,pea pod,product's form,The tennis balls are contained in the bag like peas in a pod,vision,The tennis balls look like peas inside a pod,color & form & structure,,,,,,,,
66.png,,,,,,,,,,,,,,,,
67.png,Hexagon Honey,honey jar,honeycomb, context product,蜂蜜来自蜂窝,vision,The honey jar looks like a honeycomb cell,form & structure,,,,,,,,
68.png,"FEEL THE NATURE, FEEL THE FORM!",Key Holder,honeycomb, context’s meaning,人的家和蜜蜂的家,interaction,return the key to the key holder interacts like a bee returning to their hive,form & structure & function & color,,,,,,,,
69.png,LH2O,Water Bottle,chemical structure,product,the geometric structure of a water molecule,vision,The bottle looks like a chemical model representing the structure of H2O,form & structure & function,,,,,,,,
70.png,Paper Wall Shelf,Wall Shelf,blowing paper,,"通过模仿纸张在风中飘动的形态，营造出一种轻盈和动态的感觉，让家居空间增添一种诗意和流动感,",vision,Each shelf looks like sheets of paper caught in the wind,form & structure & color & size,,,,,,,,
71.png,Scratch Coasters,table mats,,,通过模仿随意的涂鸦形状，给用户一种轻松、随意的用餐氛围,vision,The table mats look like playful scribbles,form & structure & color,,,,,,,,
72.png,null,tea Bags,clothes hanger, product’s interaction,organizing the tea bag interactes like organizing the clothes,interaction,Hanging the tea bag to the cup interacts like hanging a cloth,form & structure & style,,,,,,,,
73.png,null,tea Bags,butterfly,users' emotions,蝴蝶，营造出一种轻盈和自然的饮茶体验；与中国的禅意思想有关,vision,The tea bag's tag looks like a butterfly resting on the cup,form & structure & color,,,,,,,,
74.png,null,Stapler,whale,product's function/interaction,The whale closes its mouth with like the force of a stapler,vision,The stapler looks like a whale with its mouth open,form & structure & color & interaction,,,,,,,,
75.png,école cantonale d’art de Lausanne,Cutlery,vegetables,product's function,the vegetables can serves as a reminder of the biodegradable materials used to create them,vision,The cutlery looks like various vegetables,form & color & texture,,,,,,,,
76.png,,,,,,,,,,,,,,,,
77.png,Penguin And Crab Doorbell,Doorbell,penguin & crab,users' emotion,传达了一种趣味性和温馨感，使到访者感受到家的温暖和独特个性,vision,The doorbell looks like a cute penguin holding a crab,form & color ,,,,,,,,
78.png,,,,,,,,,,,,,,,,
79.png,Deer_Meadow_Toothpick_Holder,"Toothpick Holder,",deer in meadow,product's form,The shape of the toothpicks gathered together looks like a lawn,vision,The toothpicks looks like blades of grass surrounding a small deer,form & structure & color,,,,,,,,
80.png,Polar Bears Ceiling Lights,Ceiling Light,Polar Bears,user’s emotions,Polar bears playfully hanging conveys joyful moments,vision,The polar bears look like they are hanging from glowing orbs,form & movement & light and shadow,,,,,,,,
81.png,nendo Designs IoT Home Appliances - Scale,scale,cloud,user’s emotions,The scale’s icon a ‘cloud’ symbolizes the desire to be lightweight. ,vision,The scale's surface looks like a soft cloud,form & color ,,,,,,,,
82.png,nendo Designs IoT Home Appliances - Clock,alarm clock,bird,product’s function,A chirping bird wakes you up just like an alarm clock,hearing,The bird on top interacts like an alarm sound,form & interaction & color,,,,,,,,
83.png,Grid-Bonsai,Bonsai,Puzzle,Product’s function,网格盆景可以很容易地用一把盆景剪刀修剪，就像一个天然植物，并设计为用户友好，适合初学者。,Interaction, Puzzle interacts like a Grid-Bonsai that can be customized and shaped.,Structure & form & function,,,,,,,,
84.png,nendo Designs IoT Home Appliances - Humidifier,Humidifier,Vapor, context product,Vapor is emitted from the humidifier like mist or steam.,Vision,"the top of humidifer looks like soft, rising mist.",Form & color ,,,,,,,,
85.png,,,,,,,,,,,,,,,,
86.png,Pip,Key ring,mouse,product’s function,The mmouse's thin and twist tail can help you hold all the keys at your fingertip.,vision,the key ring looks like a mouse's tail ,form & structure,,,,,,,,
87.png,neyuki,Cheesecake,Snowy Landscape,典故？,将蔬菜和水果保存在雪中，根据生物防卫本能，具有增加自身糖度的效果。这是从北国特有的传统手法中得到灵感的表现。,interaction,Removing a toothpick from the cake is like taking vegetables out of the snow,Form & clolor & Temperature,,,,,,,,
88.png,Pontos_Wallclock,Wall clock,Wristwatch,product’s function,A wriswatch and a wall clock both have a dial plate.,vision,The wristwatch's dial and numbers merge with the design of the wall clock,form & color & graphics & interaction,,,,,,,,
89.png,Jumbo handbag table hook,table hook,elephant balancing on a ball,product’s function, An elephant's trunk holds things like a hook hoke the bag,vison,The hook looks like an elephant's trunk,form & strucuture,,,,,,,,
90.png,Chocolamixture,Chocolate set,Laboratory flask,product’s function,A flask holds mixtures like the chocolate container holds flavors,interaction,The chocolate container functions like a flask for mixing different flavors,form & material & interaction,,,,,,,,
91.png,chocolate-paint,chocolate,paint,product’s function,A box of paints holds colors like the chocolate container holds flavors,interaction,Opening the chocolate package interacts like opening a box of paints,color & graphics & texture,,,,,,,,
92.png,Oppopet Mouse,mouse,pet,user’s interests,The mouse users like raising pets,vision,The USB receiver looks like an animal tail,form & color & structure,,,,,,,,
93.png,maki,Ceiling Light,paper roll, context’s meaning,将“光”本身柔和地卷起来。,vision,The lamp looks like a paper roll,form & color & structure & ligh and shadow,,,,,,,,
94.png,parte,fruit bowl,cork,product's function,Cork's versatility and lightness function like a transformable fruit bowl.,interaction,The bowl's ability to be reconfigured interacts like cork being easily shaped and manipulated.,material & form & interaction & color & function,,,,,,,,
95.png,forest-spoon,forest,spoon,user’s emotions,the forest give user a harmony emotion when having dinner,vison,The handle of the spoon looks like a forest and a bird,structure & graphics ,,,,,,,,
96.png,pyggy-bank,piggy bank,pig,典故？,"the history of the ""PIGGY BANK,"" known as the ""PYGG"" in medieval Europe",vision,The holes for the money look like a pig's nostril ,form & color & structure,,,,,,,,
97.png,,,,,,,,,,,,,,,,
98.png,socket-deer,outlet plate,deer antlers,product’s function,The antlers provide a place to hang items like an outlet plate supports plugs,interaction,The outlet plate holding items functions like antlers holding objects,form & structure ,,,,,,,,
99.png,chocolate-pencils,chocolate and desert set,colored pencils and, context meaning,We wanted our plates to show off the beauty of meals and desserts like a painting on a canvas.?,interaction,grate chocolate onto their dessert interacts like sharpening a pencil ,fomr & function & color ,,,,,,,,
100.png,Cabbage Chair,pleated paper chair,cabbage,product’s function,Peeling back layers of the pleated paper can make a chair-like structure,interaction,The chair is designed with layers peeled away like a cabbage,function & structure ,interaction 没有映射关系（本体本来没有这样的interaction),,,,,,,似乎主要映射还是这两个
101.png,ILLOIHA OMOTESANDO,fitness climbing wall,paintingg frame,user’s emotions,创造了“通过活动身体来变漂亮”的理念,interaction,Climbing interacts like moving through a decorated room,function & form & structure & color,,,,,,,,
102.png,Kazan Tissue Dispenser,tissue dispenser,volcano,product’s function,Pulling tissues through the dispenser functions like smoke emerging from a volcano,vision,The tissue coming out looks like volcanic smoke,form & function & color,,,,,,,,
103.png,key-calendar,calendar,key & lock, context’s meaning,begining a new day is like unlocking a door,interaction,The key interacts with the calendar like unlocking a door,form & function & structure,,,,,,,,
104.png,ribbon,stool,ballet ribbon,user’s emotions,Creates a playful seating experience with a ribbon-like elasticity,vision,The stool's frame looks like a ballet ribbon,form & structure & material,,,,,,,,
105.png,roll,basin,paper,product’s function,A paper rolled into a circular shape forms a boundary like a basin containing water,vision,The basin's shape looks like a sheet of paper rolled into a spiral,form & structure & color,,,,,,,,
106.png,DATA clip,USB drive,paper clip, context’s meaning,将数据传输给他人和将文件给他人，都体现了链接,interaction, the bottom of a USB drive interacts like a paper clip,form & function & structure,,,,,,,,
107.png,bell-orgel,music box,bell,product’s function,"A bell is traditionally associated with sound, just like a music box plays melodies",interaction,Opening a music box is like ringing a bell,form & sound & interaction,,,,,,,,
108.png,Harcourt-chessboard,chess set,Harcourt glass,product’s interaction,Both the Harcourt glass and chess pieces are handled by two people across a table,vision,Each chess pieces looks like a Harcourt glass,form & material & color & structure,,,,,,,,
109.png,Starbuck's mug americano / mug latte / mug caramel macchiato,mug,Coffee surface, context’s meaning,"The graphic of coffee on the mug's bottom creates the illusion of a full cup, evoking a sense of satisfaction",vision,he bottom of the mug looks like the surface of a filled coffee cup,graphics & color & texture,,,,,,,,
110.png,,,,,,,,,,,,,,,,
111.png,,,,,,,,,,,,,,,,
112.png,,,,,,,,,,,,,,,,
113.png,JUICEPELL Packaging - 1,strawberry juice package,strawberry,user’s emotions,营造一种新鲜的感受， highlight its flavor,vision,The juice carton looks like a strawberry,color & texture & form & graphic,,,,,,,,
114.png,JUICEPELL Packaging - 2,banana juice package,banana,user’s emotions,营造一种新鲜的感受， highlight its flavor,vision,The juice carton looks like a banana,color & texture & form & graphic,,,,,,,,
115.png,The MUJI Wall-mounted CD Player,CD player,ventilation fan,product’s function,The ventilation fan's spinning motion to stabilize airflow interacts like the CD player's disc rotation to stabilize sound,interaction,The CD player interacts like a ventilation fan when pulling the cord,form & function & movement & interaction & color & structure,,,,,,,,
116.png,MOKUREN,chandelier,magnolia tree, context’s meaning,tree’s branches and flowers can symbolize beauty and eternal bonds in the room,vision,The chandelier's structure and lights looks like  blossoms of a magnolia tree,form & material & light & texture,,,,,,,,
117.png,,,,,,,The plate looks like a mountain range and a lake when filled with liquid,form & structure & interaction,,,,,,,,
118.png,,,,,,,The lamp interacts like unrolling a scroll to form its shape,form & material & structure,,,,,,,,
119.png,topography plate,plate,mountain range, context’s meaning,enjoying a delicious soup just like enjoying a landscape,vision,,,,,,,,,,
120.png,null,table lamp,scroll,product’s function,"The scroll unrolls to reveal its content like the lamp unrolls to reveal its light,",interaction,,,,,,,,,,
121.png,OBJECT,lamp,flower and vase, context’s meaning,the flower can create 一种温馨的家庭环境,vision,The lamp's light creates the appearance of a flower and vase on the wall,light & form & interaction & structure,这种用光做隐喻的还蛮多的，但是不知道怎么写本体喻体关系,,,,,,,
122.png,PAINT,lighting equipment,paint,product’s function,both the light and the paint decorate a room,vision,The lamp's light appears like a paintbrush stroke on the canvas,light & form & Graphics,,,,,,,,
123.png,null,stool,tree trunk,product's form,The stool looks like a tree trunk,vision,The stool's texture and form look like a real tree trunk,texture & form & material & structure,,,,,,,,
124.png,,,,,,,,,,,,,,,,
125.png,Vegetabrella Lettuce Umbrella,umbrella,lettuce, context’s meaning,might help slowly acclimate you to accepting vegetables into your life,vision,The umbrella looks like a lettuce when close ,form & graphics & structure,,,,,,,,
126.png,Handyfan,handyfan,Popsicle,users' emotions,Both the Popsicle and the fan convey a sense of cool for users,vision,The fan's structure looks like a Popsicle,,,,,,,,,
127.png,'The Giving Tree' sticky memo pad,sticky note pads,tree stumps,product’s function,Both stumps and notes can be divided into layers,vision,The sticky notes looks like tree stumps,form & graphics & structure & color,,,,,,,,
128.png,Maki pin holder,Caviar sushi, pin holder,product's form,The tip of the pin looks like a caviar,vision,The pin holder and the pin looks like a Caviar sushi,form & graphics & structure & color,,,,,,,,
129.png,,,,,,,,,,,,,,,,
130.png,AJORí,?cruet,grlic,product's form,Both?cruet and garlic bulb are consisted of many small parts,interaction,Remove a gralic bulb from a garlic interacts like taking a cruet-stand from cruet shelf,form & color & structure & interaction,,,,,,,,
131.png,Frozen Peas Ice Cube Mould,icecube mould,Edamame,product's form,Frozen pea pods encapsulate spheres of water like ice molds create spherical ice cubes,interaction,"The ice is squeezed out of the mold like peas are popped out of a pod,",form & structure & shape & color,,,,,,,,
132.png,porcupine pencil holder,pencil holder,porcupine,product’s function,Porcupine's quills hold pencils like a pencil holder,vision,The pencil holder's form looks like a porcupine with quills,structure & form ,,,,,,,,
133.png,Alessi Corkscrew,corkscrew,human figure,product’s form,The corkscrew's arms lift like a human's arms while opening a bottle,vision,The corkscrew's body and handle look like a person,form & structure & color & interaction,,,,,,,,
134.png,Polar Bear Tea Bag Holder,tea bag holder,polar bear fishing,product’s form,The polar bear's fishing resembles dipping a tea bag into tea,vision,The tea bag holder's design looks like a polar bear fishing,form & structure & color,,,,,,,,
135.png,"Dinosaur Lamp,",lamp,brachiosaurus,user’s emotions,as if a diansor is looking at you when working,vision,The curved neck of the lamp looks like the long neck of a brachiosaurus,form & color & structure & interaction,,,,,,,,
136.png,Peeling Corner Lamp,lamp,peeling wall, context’s meaning,Light will leaking if peeling a corner of a wall,vision,The lamps shape and placement looks like the wall peeling to reveal light underneath,form & light and shadow & structure & Material,,,,,,,,
137.png,Puddle Vase,vase,puddle, context product,a flower growing naturally out of a puddle,vision,The vessel looks like a real puddle with a flower emerging from it,form & structure & metarial,,,,,,,,
138.png,Book Flower Pot,flower pot,book, context product,a folwer pot is always present on a book shelf,interaction,The book-shaped flower pot functions like a book,form & structure & material & function,,,,,,,,
139.png,TweetTunes earbuds,earbuds,bird,product’s function,Both the bird and the TweetTunes can sing a song,vision,The earbuds' shape looks like small birds perched on a branch,form & color & interaction,,,,,,,,
140.png,QUALY Squirrels Love the Forest-Pencil Sharpener,pencil sharpener,squirrel,product’s function,The pencil sharpener collects shavings like a squirrel gathering nuts in the forest,vision,"the shavings looks like fallen leaves, and a squirrel is on top of it.",form & color & interaction & structure,多个mapping,,,,,,,
141.png,Guitar Scissors,scissors,guitar,user’s emotions,The guitar can add playful experience and  help you cut through boredom and mental blocks for your next design project,vision,The scissors’ shape looks like a Stratocaster guitar,form & structure & material & color& graphics,,,,,,,,
142.png,In.Water Desk,desk,polluted water,context's meaning,"The desk symbolizes the gradual accumulation of pollution in our waters, mirroring how clutter accumulates on a workspace, disrupting its clarity and function",usage,The translucent gradient of  the desk’s surface becomes  obscured looks like clear water becomes polluted water,color ,动态变化映射,,,,,,,
143.png,,,,,,,,,,,,,,,,
144.png,tamago,luggage,sushi, product’s form,languages on the airport conveyor belt looks like sushi on food conveyor belts ,vision,The luggage's shape and color looks like sushi,color & form & Graphics,,,,,,,,
145.png,OTOTO‘s Tea Trap,tea infuser,carnivorous plant,product’s function,Opening The tea infuser looks like a carnivorous plant opens its mouth,vision,The infuser’s shape and design look like a carnivorous plant with a mouth,form & interaction & color,,,,,,,,
146.png,Pelix,cloth and sponge holder,pelican,context's meaning,A pelican lives by the water just like how washing dishes happens near the sink,vision,"The bright beak holds the cloth like a pelican holding its prey,",color & form & function,,,,,,,,
147.png,Jonah-The Toothpick Dispenser,toothpick dispenser,whale,context's meaning,whale's association with strong teeth transfers to the user when using a toothpick to keep teeth clean,,,,,,,,,,,
148.png,,,,,,,,,,,,,,,,
149.png,,,,,,,,,,,,,,,,
150.png,,,,,,,,,,,,,,,,
151.png,,,,,,,,,,,,,,,,
152.png,,,,,,,,,,,,,,,,
153.png,,,,,,,,,,,,,,,,
154.png,,,,,,,,,,,,,,,,
155.png,,,,,,,,,,,,,,,,
156.png,,,,,,,,,,,,,,,,
157.png,,,,,,,,,,,,,,,,
158.png,,,,,,,,,,,,,,,,
159.png,,,,,,,,,,,,,,,,
160.png,,,,,,,,,,,,,,,,
161.png,,,,,,,,,,,,,,,,
162.png,,,,,,,,,,,,,,,,
163.png,,,,,,,,,,,,,,,,
164.png,,,,,,,,,,,,,,,,
165.png,,,,,,,,,,,,,,,,
166.png,,,,,,,,,,,,,,,,
167.png,,,,,,,,,,,,,,,,
168.png,,,,,,,,,,,,,,,,
